annee,indicateur,valeur,region
2010,Espérance de vie (années),65.0,Port-au-Prince
2010,Espérance de vie (années),56.5,Port-au-Prince
2010,Espérance de vie (années),69.9,Port-au-Prince
2010,Espérance de vie (années),68.9,Port-au-Prince
2010,Espérance de vie (années),69.6,Port-au-Prince
2010,Espérance de vie (années),68.4,Port-au-Prince
2010,Espérance de vie (années),64.2,Port-au-Prince
2010,Espérance de vie (années),66.1,Port-au-Prince
2010,Espérance de vie (années),62.1,Port-au-Prince
2010,Espérance de vie (années),60.8,Port-au-Prince
2010,Espérance de vie (années),63.7,Port-au-Prince
2010,Espérance de vie (années),67.8,Port-au-Prince
2010,Espérance de vie (années),55.0,Sud
2010,Espérance de vie (années),55.1,Sud
2010,Espérance de vie (années),69.8,Sud
2010,Espérance de vie (années),68.8,Sud
2010,Espérance de vie (années),65.2,Sud
2010,Espérance de vie (années),68.3,Sud
2010,Espérance de vie (années),66.7,Sud
2010,Espérance de vie (années),69.4,Sud
2010,Espérance de vie (années),66.3,Sud
2010,Espérance de vie (années),60.3,Sud
2010,Espérance de vie (années),62.1,Sud
2010,Espérance de vie (années),57.9,Sud
2010,Espérance de vie (années),56.9,Sud
2010,Espérance de vie (années),65.5,Sud
2010,Espérance de vie (années),66.1,Sud
2010,Espérance de vie (années),58.0,Sud
2010,Espérance de vie (années),56.0,Sud
2010,Espérance de vie (années),68.3,Sud
2010,Espérance de vie (années),60.7,Sud
2010,Espérance de vie (années),66.6,Sud
2010,Espérance de vie (années),66.2,Sud
2010,Espérance de vie (années),66.5,Sud
2010,Espérance de vie (années),57.9,Sud
2010,Espérance de vie (années),67.9,Sud-Est
2010,Espérance de vie (années),58.1,Sud-Est
2010,Espérance de vie (années),69.1,Sud-Est
2010,Espérance de vie (années),64.3,Sud-Est
2010,Espérance de vie (années),62.6,Sud-Est
2010,Espérance de vie (années),68.6,Sud-Est
2010,Espérance de vie (années),64.5,Sud-Est
2010,Espérance de vie (années),61.9,Sud-Est
2010,Espérance de vie (années),62.0,Sud-Est
2010,Espérance de vie (années),59.8,Sud-Est
2010,Espérance de vie (années),62.6,Sud-Est
2010,Espérance de vie (années),68.7,Sud-Est
2010,Espérance de vie (années),56.6,Sud-Est
2010,Espérance de vie (années),65.4,Sud-Est
2010,Espérance de vie (années),69.9,Sud-Est
2010,Espérance de vie (années),55.2,Sud-Est
2010,Espérance de vie (années),60.4,Sud-Est
2010,Espérance de vie (années),64.9,Sud-Est
2010,Espérance de vie (années),55.8,Sud-Est
2010,Espérance de vie (années),61.2,Sud-Est
2010,Espérance de vie (années),60.2,Sud-Est
2010,Espérance de vie (années),58.5,Sud-Est
2010,Espérance de vie (années),55.2,Sud-Est
2010,Espérance de vie (années),58.3,Total
2010,Espérance de vie (années),55.9,Total
2010,Espérance de vie (années),59.7,Total
2010,Espérance de vie (années),59.5,Total
2010,Espérance de vie (années),58.4,Total
2010,Espérance de vie (années),55.1,Total
2010,Espérance de vie (années),69.3,Total
2010,Espérance de vie (années),65.9,Total
2010,Espérance de vie (années),64.3,Total
2010,Espérance de vie (années),68.3,Total
2010,Espérance de vie (années),59.1,Total
2010,Espérance de vie (années),66.5,Total
2010,Espérance de vie (années),62.3,Total
2010,Espérance de vie (années),60.5,Total
2010,Espérance de vie (années),59.5,Total
2010,Espérance de vie (années),58.8,Total
2010,Espérance de vie (années),62.3,Total
2010,Espérance de vie (années),57.5,Total
2010,Espérance de vie (années),57.9,Total
2010,Espérance de vie (années),63.4,Total
2011,Espérance de vie (années),58.7,Artibonite
2011,Espérance de vie (années),65.3,Artibonite
2011,Espérance de vie (années),69.7,Artibonite
2011,Espérance de vie (années),57.3,Artibonite
2011,Espérance de vie (années),63.9,Artibonite
2011,Espérance de vie (années),65.4,Artibonite
2011,Espérance de vie (années),67.5,Artibonite
2011,Espérance de vie (années),55.7,Artibonite
2011,Espérance de vie (années),57.8,Artibonite
2011,Espérance de vie (années),66.7,Artibonite
2011,Espérance de vie (années),64.1,Artibonite
2011,Espérance de vie (années),56.5,Artibonite
2011,Espérance de vie (années),69.0,Artibonite
2011,Espérance de vie (années),67.7,Artibonite
2011,Espérance de vie (années),56.8,Artibonite
2011,Espérance de vie (années),62.5,Artibonite
2011,Espérance de vie (années),57.4,Artibonite
2011,Espérance de vie (années),68.0,Artibonite
2011,Espérance de vie (années),64.9,Artibonite
2011,Espérance de vie (années),69.2,Artibonite
2011,Espérance de vie (années),60.9,Artibonite
2011,Espérance de vie (années),66.2,Centre
2011,Espérance de vie (années),58.4,Centre
2011,Espérance de vie (années),57.5,Centre
2011,Espérance de vie (années),57.5,Centre
2011,Espérance de vie (années),67.0,Centre
2011,Espérance de vie (années),56.2,Centre
2011,Espérance de vie (années),60.6,Centre
2011,Espérance de vie (années),57.2,Centre
2011,Espérance de vie (années),62.2,Centre
2011,Espérance de vie (années),67.6,Grand'Anse
2011,Espérance de vie (années),61.5,Grand'Anse
2011,Espérance de vie (années),66.9,Grand'Anse
2011,Espérance de vie (années),66.7,Grand'Anse
2011,Espérance de vie (années),61.4,Grand'Anse
2011,Espérance de vie (années),61.0,Grand'Anse
2011,Espérance de vie (années),57.0,Grand'Anse
2011,Espérance de vie (années),58.6,Grand'Anse
2011,Espérance de vie (années),61.4,Grand'Anse
2011,Espérance de vie (années),56.9,Grand'Anse
2011,Espérance de vie (années),55.5,Grand'Anse
2011,Espérance de vie (années),58.3,Grand'Anse
2011,Espérance de vie (années),62.8,Grand'Anse
2011,Espérance de vie (années),66.5,Grand'Anse
2011,Espérance de vie (années),58.8,Grand'Anse
2011,Espérance de vie (années),60.8,Grand'Anse
2011,Espérance de vie (années),61.0,Grand'Anse
2011,Espérance de vie (années),67.3,Grand'Anse
2011,Espérance de vie (années),69.2,Grand'Anse
2011,Espérance de vie (années),58.9,Grand'Anse
2011,Espérance de vie (années),55.6,Grand'Anse
2011,Espérance de vie (années),69.4,Grand'Anse
2011,Espérance de vie (années),61.7,Grand'Anse
2011,Espérance de vie (années),59.3,Grand'Anse
2011,Espérance de vie (années),67.8,Nippes
2011,Espérance de vie (années),67.0,Nippes
2011,Espérance de vie (années),68.0,Nippes
2011,Espérance de vie (années),60.3,Nippes
2011,Espérance de vie (années),59.1,Nippes
2011,Espérance de vie (années),65.7,Nippes
2011,Espérance de vie (années),69.0,Nippes
2011,Espérance de vie (années),67.7,Nippes
2011,Espérance de vie (années),63.2,Nippes
2011,Espérance de vie (années),59.8,Nippes
2011,Espérance de vie (années),62.2,Nippes
2011,Espérance de vie (années),67.4,Nippes
2011,Espérance de vie (années),63.9,Nippes
2011,Espérance de vie (années),67.2,Nippes
2011,Espérance de vie (années),64.3,Nippes
2011,Espérance de vie (années),68.5,Nippes
2011,Espérance de vie (années),66.3,Nippes
2011,Espérance de vie (années),68.8,Nippes
2011,Espérance de vie (années),67.5,Nippes
2011,Espérance de vie (années),56.1,Nippes
2011,Espérance de vie (années),62.7,Nippes
2011,Espérance de vie (années),55.6,Nippes
2011,Espérance de vie (années),69.0,Nippes
2011,Espérance de vie (années),60.8,Nippes
2011,Espérance de vie (années),60.3,Nippes
2011,Espérance de vie (années),66.3,Nippes
2011,Espérance de vie (années),59.4,Nippes
2011,Espérance de vie (années),65.0,Nord
2011,Espérance de vie (années),69.0,Nord
2011,Espérance de vie (années),70.1,Nord
2011,Espérance de vie (années),63.4,Nord
2011,Espérance de vie (années),56.0,Nord
2011,Espérance de vie (années),63.4,Nord
2011,Espérance de vie (années),65.0,Nord
2011,Espérance de vie (années),67.9,Nord
2011,Espérance de vie (années),63.8,Nord
2011,Espérance de vie (années),56.2,Nord
2011,Espérance de vie (années),64.2,Nord
2011,Espérance de vie (années),60.2,Nord
2011,Espérance de vie (années),68.4,Nord
2011,Espérance de vie (années),65.9,Nord
2011,Espérance de vie (années),59.6,Nord
2011,Espérance de vie (années),61.9,Nord
2011,Espérance de vie (années),60.4,Nord
2011,Espérance de vie (années),65.8,Nord
2011,Espérance de vie (années),65.7,Nord
2011,Espérance de vie (années),56.2,Nord
2011,Espérance de vie (années),55.6,Nord
2011,Espérance de vie (années),61.6,Nord
2011,Espérance de vie (années),56.3,Nord
2011,Espérance de vie (années),58.4,Nord
2011,Espérance de vie (années),68.2,Nord
2011,Espérance de vie (années),62.9,Nord-Est
2011,Espérance de vie (années),61.2,Nord-Est
2011,Espérance de vie (années),62.3,Nord-Est
2011,Espérance de vie (années),66.1,Nord-Est
2011,Espérance de vie (années),65.0,Nord-Est
2011,Espérance de vie (années),64.6,Nord-Est
2011,Espérance de vie (années),70.1,Nord-Est
2011,Espérance de vie (années),58.2,Nord-Est
2011,Espérance de vie (années),65.1,Nord-Est
2011,Espérance de vie (années),55.9,Nord-Est
2011,Espérance de vie (années),67.5,Nord-Est
2011,Espérance de vie (années),62.0,Nord-Est
2011,Espérance de vie (années),56.4,Nord-Est
2011,Espérance de vie (années),68.7,Nord-Est
2011,Espérance de vie (années),62.6,Nord-Est
2011,Espérance de vie (années),57.8,Nord-Est
2011,Espérance de vie (années),60.1,Nord-Est
2011,Espérance de vie (années),64.6,Nord-Est
2011,Espérance de vie (années),56.0,Nord-Est
2011,Espérance de vie (années),66.3,Nord-Est
2011,Espérance de vie (années),58.1,Nord-Ouest
2011,Espérance de vie (années),67.3,Nord-Ouest
2011,Espérance de vie (années),58.7,Nord-Ouest
2011,Espérance de vie (années),69.3,Nord-Ouest
2011,Espérance de vie (années),63.4,Nord-Ouest
2011,Espérance de vie (années),60.0,Nord-Ouest
2011,Espérance de vie (années),62.2,Nord-Ouest
2011,Espérance de vie (années),61.0,Nord-Ouest
2011,Espérance de vie (années),69.9,Nord-Ouest
2011,Espérance de vie (années),66.7,Nord-Ouest
2011,Espérance de vie (années),67.9,Nord-Ouest
2011,Espérance de vie (années),62.0,Nord-Ouest
2011,Espérance de vie (années),62.7,Nord-Ouest
2011,Espérance de vie (années),60.4,Nord-Ouest
2011,Espérance de vie (années),56.0,Nord-Ouest
2011,Espérance de vie (années),67.3,Nord-Ouest
2011,Espérance de vie (années),63.7,Nord-Ouest
2011,Espérance de vie (années),57.5,Nord-Ouest
2011,Espérance de vie (années),68.7,Nord-Ouest
2011,Espérance de vie (années),64.7,Nord-Ouest
2011,Espérance de vie (années),64.2,Ouest
2011,Espérance de vie (années),60.1,Ouest
2011,Espérance de vie (années),65.9,Ouest
2011,Espérance de vie (années),58.7,Ouest
2011,Espérance de vie (années),58.8,Ouest
2011,Espérance de vie (années),57.5,Ouest
2011,Espérance de vie (années),69.8,Ouest
2011,Espérance de vie (années),62.3,Ouest
2011,Espérance de vie (années),61.5,Ouest
2011,Espérance de vie (années),55.7,Ouest
2011,Espérance de vie (années),63.5,Ouest
2011,Espérance de vie (années),69.6,Ouest
2011,Espérance de vie (années),62.8,Ouest
2011,Espérance de vie (années),63.9,Ouest
2011,Espérance de vie (années),69.9,Ouest
2011,Espérance de vie (années),63.6,Ouest
2011,Espérance de vie (années),69.3,Ouest
2011,Espérance de vie (années),63.0,Port-au-Prince
2011,Espérance de vie (années),63.9,Port-au-Prince
2011,Espérance de vie (années),64.8,Port-au-Prince
2011,Espérance de vie (années),63.5,Port-au-Prince
2011,Espérance de vie (années),57.0,Port-au-Prince
2011,Espérance de vie (années),60.6,Port-au-Prince
2011,Espérance de vie (années),62.2,Port-au-Prince
2011,Espérance de vie (années),62.5,Port-au-Prince
2011,Espérance de vie (années),63.2,Port-au-Prince
2011,Espérance de vie (années),69.0,Port-au-Prince
2011,Espérance de vie (années),68.7,Port-au-Prince
2011,Espérance de vie (années),67.7,Port-au-Prince
2011,Espérance de vie (années),57.4,Port-au-Prince
2011,Espérance de vie (années),67.0,Port-au-Prince
2011,Espérance de vie (années),57.8,Port-au-Prince
2011,Espérance de vie (années),61.6,Port-au-Prince
2011,Espérance de vie (années),63.0,Port-au-Prince
2011,Espérance de vie (années),66.0,Port-au-Prince
2011,Espérance de vie (années),69.2,Port-au-Prince
2011,Espérance de vie (années),67.6,Sud
2011,Espérance de vie (années),64.4,Sud
2011,Espérance de vie (années),64.7,Sud
2011,Espérance de vie (années),67.3,Sud
2011,Espérance de vie (années),68.1,Sud
2011,Espérance de vie (années),63.0,Sud
2011,Espérance de vie (années),63.6,Sud
2011,Espérance de vie (années),60.2,Sud
2011,Espérance de vie (années),70.0,Sud
2011,Espérance de vie (années),58.6,Sud
2011,Espérance de vie (années),58.7,Sud
2011,Espérance de vie (années),61.8,Sud
2011,Espérance de vie (années),56.8,Sud-Est
2011,Espérance de vie (années),63.9,Sud-Est
2011,Espérance de vie (années),67.7,Sud-Est
2011,Espérance de vie (années),55.8,Sud-Est
2011,Espérance de vie (années),69.9,Sud-Est
2011,Espérance de vie (années),55.7,Sud-Est
2011,Espérance de vie (années),62.1,Sud-Est
2011,Espérance de vie (années),69.4,Sud-Est
2011,Espérance de vie (années),63.6,Sud-Est
2011,Espérance de vie (années),62.6,Sud-Est
2011,Espérance de vie (années),66.7,Sud-Est
2011,Espérance de vie (années),65.1,Sud-Est
2011,Espérance de vie (années),66.2,Total
2011,Espérance de vie (années),68.7,Total
2011,Espérance de vie (années),59.7,Total
2011,Espérance de vie (années),66.8,Total
2011,Espérance de vie (années),59.2,Total
2011,Espérance de vie (années),56.7,Total
2011,Espérance de vie (années),66.2,Total
2011,Espérance de vie (années),61.8,Total
2011,Espérance de vie (années),58.0,Total
2011,Espérance de vie (années),68.2,Total
2011,Espérance de vie (années),64.9,Total
2011,Espérance de vie (années),60.3,Total
2011,Espérance de vie (années),61.0,Total
2011,Espérance de vie (années),55.7,Total
2011,Espérance de vie (années),60.7,Total
2011,Espérance de vie (années),66.5,Total
2011,Espérance de vie (années),55.3,Total
2011,Espérance de vie (années),65.3,Total
2011,Espérance de vie (années),58.1,Total
2011,Espérance de vie (années),60.9,Total
2012,Espérance de vie (années),61.6,Artibonite
2012,Espérance de vie (années),57.9,Artibonite
2012,Espérance de vie (années),69.4,Artibonite
2012,Espérance de vie (années),62.9,Artibonite
2012,Espérance de vie (années),55.5,Artibonite
2012,Espérance de vie (années),65.9,Artibonite
2012,Espérance de vie (années),65.8,Artibonite
2012,Espérance de vie (années),68.4,Artibonite
2012,Espérance de vie (années),64.9,Artibonite
2012,Espérance de vie (années),64.5,Artibonite
2012,Espérance de vie (années),55.5,Artibonite
2012,Espérance de vie (années),61.7,Artibonite
2012,Espérance de vie (années),63.0,Artibonite
2012,Espérance de vie (années),64.7,Artibonite
2012,Espérance de vie (années),65.5,Artibonite
2012,Espérance de vie (années),64.1,Artibonite
2012,Espérance de vie (années),57.7,Artibonite
2012,Espérance de vie (années),66.7,Centre
2012,Espérance de vie (années),59.9,Centre
2012,Espérance de vie (années),66.5,Centre
2012,Espérance de vie (années),60.6,Centre
2012,Espérance de vie (années),56.3,Centre
2012,Espérance de vie (années),61.1,Centre
2012,Espérance de vie (années),67.1,Centre
2012,Espérance de vie (années),64.8,Centre
2012,Espérance de vie (années),64.5,Centre
2012,Espérance de vie (années),58.4,Centre
2012,Espérance de vie (années),70.2,Centre
2012,Espérance de vie (années),64.1,Centre
2012,Espérance de vie (années),60.7,Centre
2012,Espérance de vie (années),58.5,Centre
2012,Espérance de vie (années),63.0,Centre
2012,Espérance de vie (années),65.9,Centre
2012,Espérance de vie (années),68.2,Centre
2012,Espérance de vie (années),67.3,Centre
2012,Espérance de vie (années),62.9,Grand'Anse
2012,Espérance de vie (années),57.1,Grand'Anse
2012,Espérance de vie (années),66.9,Grand'Anse
2012,Espérance de vie (années),60.5,Grand'Anse
2012,Espérance de vie (années),69.3,Grand'Anse
2012,Espérance de vie (années),63.7,Grand'Anse
2012,Espérance de vie (années),56.9,Grand'Anse
2012,Espérance de vie (années),67.5,Grand'Anse
2012,Espérance de vie (années),60.5,Grand'Anse
2012,Espérance de vie (années),67.7,Grand'Anse
2012,Espérance de vie (années),66.7,Grand'Anse
2012,Espérance de vie (années),63.9,Grand'Anse
2012,Espérance de vie (années),64.3,Grand'Anse
2012,Espérance de vie (années),63.6,Grand'Anse
2012,Espérance de vie (années),68.1,Grand'Anse
2012,Espérance de vie (années),61.4,Nippes
2012,Espérance de vie (années),69.1,Nippes
2012,Espérance de vie (années),70.1,Nippes
2012,Espérance de vie (années),60.6,Nippes
2012,Espérance de vie (années),70.2,Nippes
2012,Espérance de vie (années),69.9,Nippes
2012,Espérance de vie (années),57.1,Nippes
2012,Espérance de vie (années),62.5,Nippes
2012,Espérance de vie (années),59.5,Nippes
2012,Espérance de vie (années),61.9,Nippes
2012,Espérance de vie (années),57.2,Nippes
2012,Espérance de vie (années),61.6,Nord
2012,Espérance de vie (années),63.3,Nord
2012,Espérance de vie (années),67.7,Nord
2012,Espérance de vie (années),65.7,Nord
2012,Espérance de vie (années),57.9,Nord
2012,Espérance de vie (années),63.9,Nord
2012,Espérance de vie (années),56.1,Nord
2012,Espérance de vie (années),62.0,Nord
2012,Espérance de vie (années),67.9,Nord
2012,Espérance de vie (années),62.0,Nord
2012,Espérance de vie (années),64.9,Nord
2012,Espérance de vie (années),67.5,Nord
2012,Espérance de vie (années),63.9,Nord
2012,Espérance de vie (années),62.6,Nord
2012,Espérance de vie (années),56.9,Nord
2012,Espérance de vie (années),66.3,Nord
2012,Espérance de vie (années),56.9,Nord
2012,Espérance de vie (années),68.5,Nord
2012,Espérance de vie (années),65.7,Nord-Est
2012,Espérance de vie (années),66.2,Nord-Est
2012,Espérance de vie (années),61.5,Nord-Est
2012,Espérance de vie (années),58.1,Nord-Est
2012,Espérance de vie (années),64.0,Nord-Est
2012,Espérance de vie (années),68.5,Nord-Est
2012,Espérance de vie (années),64.7,Nord-Est
2012,Espérance de vie (années),63.3,Nord-Est
2012,Espérance de vie (années),63.0,Nord-Est
2012,Espérance de vie (années),65.3,Nord-Est
2012,Espérance de vie (années),58.1,Nord-Est
2012,Espérance de vie (années),67.7,Nord-Est
2012,Espérance de vie (années),68.7,Nord-Est
2012,Espérance de vie (années),67.5,Nord-Est
2012,Espérance de vie (années),70.4,Nord-Est
2012,Espérance de vie (années),62.2,Nord-Est
2012,Espérance de vie (années),69.9,Nord-Est
2012,Espérance de vie (années),56.9,Nord-Est
2012,Espérance de vie (années),68.0,Nord-Est
2012,Espérance de vie (années),60.3,Nord-Est
2012,Espérance de vie (années),56.4,Nord-Est
2012,Espérance de vie (années),68.4,Nord-Ouest
2012,Espérance de vie (années),66.2,Nord-Ouest
2012,Espérance de vie (années),57.4,Nord-Ouest
2012,Espérance de vie (années),64.8,Nord-Ouest
2012,Espérance de vie (années),56.3,Nord-Ouest
2012,Espérance de vie (années),57.7,Nord-Ouest
2012,Espérance de vie (années),70.2,Nord-Ouest
2012,Espérance de vie (années),60.8,Nord-Ouest
2012,Espérance de vie (années),69.7,Nord-Ouest
2012,Espérance de vie (années),70.3,Nord-Ouest
2012,Espérance de vie (années),61.0,Nord-Ouest
2012,Espérance de vie (années),64.9,Nord-Ouest
2012,Espérance de vie (années),60.3,Nord-Ouest
2012,Espérance de vie (années),59.5,Nord-Ouest
2012,Espérance de vie (années),55.8,Ouest
2012,Espérance de vie (années),56.8,Ouest
2012,Espérance de vie (années),61.9,Ouest
2012,Espérance de vie (années),61.2,Ouest
2012,Espérance de vie (années),62.6,Ouest
2012,Espérance de vie (années),59.6,Ouest
2012,Espérance de vie (années),57.0,Ouest
2012,Espérance de vie (années),59.5,Ouest
2012,Espérance de vie (années),67.2,Ouest
2012,Espérance de vie (années),55.5,Ouest
2012,Espérance de vie (années),60.9,Ouest
2012,Espérance de vie (années),64.1,Ouest
2012,Espérance de vie (années),60.1,Ouest
2012,Espérance de vie (années),57.3,Ouest
2012,Espérance de vie (années),58.5,Ouest
2012,Espérance de vie (années),68.7,Ouest
2012,Espérance de vie (années),57.1,Ouest
2012,Espérance de vie (années),57.5,Ouest
2012,Espérance de vie (années),61.6,Ouest
2012,Espérance de vie (années),63.7,Ouest
2012,Espérance de vie (années),62.4,Port-au-Prince
2012,Espérance de vie (années),61.6,Port-au-Prince
2012,Espérance de vie (années),56.1,Port-au-Prince
2012,Espérance de vie (années),63.5,Port-au-Prince
2012,Espérance de vie (années),67.5,Port-au-Prince
2012,Espérance de vie (années),57.1,Port-au-Prince
2012,Espérance de vie (années),63.7,Port-au-Prince
2012,Espérance de vie (années),58.1,Port-au-Prince
2012,Espérance de vie (années),66.8,Port-au-Prince
2012,Espérance de vie (années),68.8,Port-au-Prince
2012,Espérance de vie (années),58.2,Port-au-Prince
2012,Espérance de vie (années),59.8,Port-au-Prince
2012,Espérance de vie (années),62.4,Port-au-Prince
2012,Espérance de vie (années),60.3,Port-au-Prince
2012,Espérance de vie (années),55.8,Port-au-Prince
2012,Espérance de vie (années),62.6,Port-au-Prince
2012,Espérance de vie (années),66.8,Port-au-Prince
